day,estimatedMinutesWatched,views,likes,subscribersGained
2018-01-12,0,0,0,0
2018-01-13,0,0,0,0
2018-01-14,0,0,0,0
2018-01-15,0,0,0,0
2018-01-16,0,0,0,0
2018-01-17,0,0,0,0
2018-01-18,0,0,0,0
2018-01-19,0,0,0,0
2018-01-20,0,0,0,0
2018-01-21,0,0,0,0
2018-01-22,0,0,0,0
2018-01-23,0,0,0,0
2018-01-24,0,0,0,0
2018-01-25,0,0,0,0
2018-01-26,0,0,0,0
2018-01-27,0,0,0,0
2018-01-28,0,0,0,0
2018-01-29,0,0,0,0
2018-01-30,0,0,0,0
2018-01-31,60,74,7,1
2018-02-01,13,21,0,0
2018-02-02,24,28,3,0
2018-02-03,7,12,1,0
2018-02-04,13,23,1,1
2018-02-05,6,10,1,1
2018-02-06,6,9,1,0
2018-02-07,18,11,1,0
2018-02-08,17,18,1,0
2018-02-09,10,11,1,0
2018-02-10,6,8,0,0
2018-02-11,2,6,0,0
2018-02-12,2,3,0,0
2018-02-13,0,1,0,0
2018-02-14,0,1,0,0
2018-02-15,21,17,3,1
2018-02-16,6,13,1,0
2018-02-17,0,5,0,0
2018-02-18,0,2,0,0
2018-02-19,2,1,0,0
2018-02-20,0,0,0,0
2018-02-21,0,0,0,0
2018-02-22,0,1,0,0
2018-02-23,0,0,0,0
2018-02-24,0,1,0,0
2018-02-25,4,21,3,0
2018-02-26,135,236,3,3
2018-02-27,212,320,3,0
2018-02-28,29,55,1,1
2018-03-01,22,34,0,0
2018-03-02,9,20,0,0
2018-03-03,3,10,0,0
2018-03-04,6,11,0,0
2018-03-05,5,19,0,0
2018-03-06,3,5,0,0
2018-03-07,12,14,0,0
2018-03-08,10,10,0,0
2018-03-09,3,10,0,0
2018-03-10,8,7,0,0
2018-03-11,117,12,0,0
2018-03-12,6,7,0,0
2018-03-13,24,6,0,0
2018-03-14,36,37,3,0
2018-03-15,20,16,0,0
2018-03-16,23,21,0,0
2018-03-17,37,13,0,0
2018-03-18,0,4,0,0
2018-03-19,15,3,0,0
2018-03-20,9,6,0,0
2018-03-21,58,53,6,0
2018-03-22,108,43,5,1
2018-03-23,73,16,0,0
2018-03-24,16,10,0,0
2018-03-25,23,22,3,1
2018-03-26,10,12,0,0
2018-03-27,557,269,8,3
2018-03-28,627,148,1,1
2018-03-29,516,35,0,0
2018-03-30,413,140,8,1
2018-03-31,1803,794,60,18
2018-04-01,1094,228,14,2
2018-04-02,1085,366,18,7
2018-04-03,790,242,15,5
2018-04-04,501,163,9,1
2018-04-05,185,119,5,1
2018-04-06,420,107,4,2
2018-04-07,847,219,6,1
2018-04-08,208,61,3,1
2018-04-09,325,65,2,0
2018-04-10,439,35,1,0
2018-04-11,465,32,0,0
2018-04-12,320,15,0,0
2018-04-13,195,10,0,0
2018-04-14,80,17,0,0
2018-04-15,399,28,0,0
2018-04-16,21,18,1,0
2018-04-17,249,23,0,0
2018-04-18,162,30,1,0
2018-04-19,40,21,2,0
2018-04-20,62,18,0,0
2018-04-21,298,22,0,0
2018-04-22,167,18,0,0
2018-04-23,351,29,2,0
2018-04-24,89,8,1,0
2018-04-25,119,27,1,0
2018-04-26,265,26,1,0
2018-04-27,58,12,0,0
2018-04-28,51,9,0,0
2018-04-29,576,34,1,2
2018-04-30,297,28,0,1
2018-05-01,143,13,1,0
2018-05-02,344,20,0,0
2018-05-03,388,20,0,0
2018-05-04,306,34,0,0
2018-05-05,186,15,1,0
2018-05-06,113,20,0,1
2018-05-07,419,45,2,1
2018-05-08,258,30,0,1
2018-05-09,31,23,2,0
2018-05-10,152,16,0,0
2018-05-11,90,14,0,0
2018-05-12,270,24,1,0
2018-05-13,44,16,0,0
2018-05-14,474,50,0,0
2018-05-15,154,30,0,0
2018-05-16,98,34,1,1
2018-05-17,604,61,1,0
2018-05-18,243,42,1,0
2018-05-19,310,39,1,2
2018-05-20,195,36,1,1
2018-05-21,232,38,2,1
2018-05-22,202,45,4,0
2018-05-23,127,40,4,0
2018-05-24,178,22,0,0
2018-05-25,338,35,0,0
2018-05-26,255,19,0,0
2018-05-27,295,58,2,0
2018-05-28,346,32,0,1
2018-05-29,651,35,0,0
2018-05-30,219,23,0,0
2018-05-31,211,22,0,0
2018-06-01,182,37,2,0
2018-06-02,371,43,0,2
2018-06-03,337,38,0,0
2018-06-04,358,47,0,0
2018-06-05,324,52,1,0
2018-06-06,953,63,4,1
2018-06-07,414,51,0,1
2018-06-08,380,56,4,0
2018-06-09,505,53,1,0
2018-06-10,434,49,2,1
2018-06-11,815,70,0,1
2018-06-12,814,78,4,1
2018-06-13,999,84,2,1
2018-06-14,1043,101,3,3
2018-06-15,1012,97,5,0
2018-06-16,1550,322,13,7
2018-06-17,1445,220,2,3
2018-06-18,1978,776,37,18
2018-06-19,1494,343,7,2
2018-06-20,1604,129,9,5
2018-06-21,652,83,2,1
2018-06-22,447,78,1,1
2018-06-23,493,76,1,2
2018-06-24,927,100,0,2
2018-06-25,700,77,2,3
2018-06-26,731,102,1,1
2018-06-27,1257,94,0,3
2018-06-28,639,56,3,2
2018-06-29,551,67,0,0
2018-06-30,606,76,1,1
2018-07-01,981,77,0,0
2018-07-02,954,72,5,2
2018-07-03,1281,84,2,4
2018-07-04,403,70,1,1
2018-07-05,794,69,2,0
2018-07-06,675,73,1,1
2018-07-07,457,51,0,0
2018-07-08,1000,79,0,1
2018-07-09,1037,103,10,1
2018-07-10,939,99,5,2
2018-07-11,644,80,1,0
2018-07-12,497,70,0,1
2018-07-13,1005,73,2,2
2018-07-14,712,79,0,1
2018-07-15,600,79,0,1
2018-07-16,1038,84,0,1
2018-07-17,1106,85,0,6
2018-07-18,1229,108,3,0
2018-07-19,970,113,4,2
2018-07-20,826,84,1,1
2018-07-21,990,105,1,1
2018-07-22,923,97,2,1
2018-07-23,1013,93,1,0
2018-07-24,1610,144,3,2
2018-07-25,1176,101,0,0
2018-07-26,1322,106,0,3
2018-07-27,1313,97,1,0
2018-07-28,1370,70,0,0
2018-07-29,1586,121,3,1
2018-07-30,1273,116,3,0
2018-07-31,1288,131,3,3
2018-08-01,877,106,1,2
2018-08-02,1082,108,3,0
2018-08-03,776,98,2,2
2018-08-04,1059,86,2,0
2018-08-05,1206,131,4,1
2018-08-06,1588,148,1,1
2018-08-07,1629,124,2,0
2018-08-08,1411,131,1,0
2018-08-09,1799,143,4,1
2018-08-10,2208,127,2,2
2018-08-11,1496,103,1,1
2018-08-12,1417,115,2,1
2018-08-13,1789,129,4,2
2018-08-14,1688,145,0,1
2018-08-15,2103,147,0,0
2018-08-16,917,121,0,2
2018-08-17,975,115,0,0
2018-08-18,1460,128,4,0
2018-08-19,1667,136,0,1
2018-08-20,1555,131,2,2
2018-08-21,1786,138,1,2
2018-08-22,1861,162,5,3
2018-08-23,1420,107,3,0
2018-08-24,1294,135,1,2
2018-08-25,1802,152,5,2
2018-08-26,1450,129,2,0
2018-08-27,1624,142,1,2
2018-08-28,1511,116,2,3
2018-08-29,1361,131,0,0
2018-08-30,1578,171,1,2
2018-08-31,1135,152,2,3
2018-09-01,1702,130,2,1
2018-09-02,1910,241,7,2
2018-09-03,3488,800,54,19
2018-09-04,2353,472,19,6
2018-09-05,1968,226,-1,3
2018-09-06,2624,250,7,3
2018-09-07,1445,171,2,0
2018-09-08,1709,143,4,1
2018-09-09,1506,174,2,0
2018-09-10,1856,168,1,2
2018-09-11,1332,170,0,2
2018-09-12,1287,139,1,0
2018-09-13,1534,126,0,3
2018-09-14,1687,166,6,1
2018-09-15,1334,102,0,0
2018-09-16,1951,198,1,4
2018-09-17,1306,152,2,3
2018-09-18,1105,177,3,3
2018-09-19,1337,166,3,2
2018-09-20,1494,164,2,4
2018-09-21,1844,211,7,1
2018-09-22,1980,174,5,2
2018-09-23,1896,181,3,4
2018-09-24,1795,197,3,3
2018-09-25,1961,172,11,0
2018-09-26,1776,211,5,5
2018-09-27,1641,135,0,0
2018-09-28,1637,161,3,4
2018-09-29,1665,175,3,2
2018-09-30,2211,175,0,0
2018-10-01,1969,175,5,1
2018-10-02,1756,197,2,3
2018-10-03,1755,179,4,1
2018-10-04,1935,202,3,3
2018-10-05,2185,184,4,2
2018-10-06,2156,193,4,2
2018-10-07,2060,206,4,2
2018-10-08,1921,218,8,6
2018-10-09,2148,190,0,1
2018-10-10,2101,216,5,0
2018-10-11,2663,208,2,2
2018-10-12,2394,246,1,2
2018-10-13,1680,164,0,1
2018-10-14,2515,247,4,2
2018-10-15,2623,251,3,4
2018-10-16,2890,229,4,2
2018-10-17,2931,269,5,8
2018-10-18,3592,249,6,0
2018-10-19,2126,210,0,4
2018-10-20,2187,201,0,2
2018-10-21,2388,246,10,2
2018-10-22,2726,273,6,2
2018-10-23,3701,284,5,1
2018-10-24,3803,247,4,4
2018-10-25,4325,275,2,2
2018-10-26,2286,245,2,6
2018-10-27,2523,231,1,1
2018-10-28,2873,250,4,2
2018-10-29,2462,251,3,5
2018-10-30,3584,281,5,4
2018-10-31,3266,267,3,5
2018-11-01,2932,241,4,2
2018-11-02,2785,253,3,0
2018-11-03,2297,234,1,2
2018-11-04,3649,311,5,1
2018-11-05,3325,315,3,5
2018-11-06,3882,344,9,4
2018-11-07,3640,300,3,6
2018-11-08,3643,318,3,2
2018-11-09,3472,271,2,2
2018-11-10,3331,293,4,2
2018-11-11,3740,309,7,1
2018-11-12,3048,318,6,1
2018-11-13,3768,374,6,5
2018-11-14,4040,333,5,4
2018-11-15,4331,360,8,2
2018-11-16,3930,308,2,4
2018-11-17,3649,348,6,4
2018-11-18,3317,338,6,5
2018-11-19,4631,407,4,3
2018-11-20,5780,457,7,3
2018-11-21,3983,406,4,3
2018-11-22,3433,337,9,2
2018-11-23,2642,275,8,1
2018-11-24,3854,293,2,3
2018-11-25,4413,394,9,6
2018-11-26,4444,385,3,9
2018-11-27,5008,462,8,4
2018-11-28,6519,496,9,4
2018-11-29,5898,517,11,9
2018-11-30,7121,592,8,5
2018-12-01,6504,569,5,8
2018-12-02,7681,678,19,9
2018-12-03,7433,637,12,4
2018-12-04,8640,793,19,15
2018-12-05,10771,1002,26,21
2018-12-06,10666,1041,14,19
2018-12-07,10550,951,23,17
2018-12-08,8000,839,14,10
